submission_dir,name,org,os_model,os_system,resolved,rate,ci_lo,ci_hi,n_no_generation,n_no_logs
20250725_sweagent_devstral_small_2507,SWE-agent + DevStral Small 2507,['SWE-agent'],True,True,190,0.38,0.3385223304668887,0.423307511272531,3,3
20250616_Skywork-SWE-32B,Skywork-SWE-32B,Skywork AI,True,True,190,0.38,0.3385223304668887,0.423307511272531,9,1
20240617_factory_code_droid,Factory Code Droid,,False,False,185,0.37,0.32882226345948734,0.4131600650915506,0,0
20240620_sweagent_claude3.5sonnet,SWE-agent + Claude 3.5 Sonnet,SWE-agent,False,True,168,0.336,0.2959880075233371,0.37851277618720314,11,3
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,SWE-Fixer (Qwen2.5-7b retriever + Qwen2.5-72b editor),,True,True,164,0.328,0.2882961895397359,0.37032658362009885,19,0
20240612_MASAI_gpt4o,MASAI + GPT 4o (2024-06-12),,False,False,163,0.326,0.28637531573512415,0.36827795478703435,22,4
20241120_artemis_agent,Artemis Agent v1 (2024-11-20),,False,False,160,0.32,0.2806177503915974,0.36212701221753196,4,7
20241007_nfactorial,nFactorial (2024-10-07),,False,False,158,0.316,0.27678362782353494,0.3580221295102418,22,0
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,SWE-Fixer (Qwen2.5-7b retriever + Qwen2.5-72b editor) 20241128,,False,True,151,0.302,0.26339155058901215,0.34362768828103013,2,0
20241002_lingma-agent_lingma-swe-gpt-72b,Lingma Agent + Lingma SWE-GPT 72b (v0925),Alibaba,False,True,144,0.288,0.2500432708308745,0.3291894495754334,8,1
20241016_epam-ai-run-gpt-4o,EPAM AI/Run Developer Agent + GPT4o,,False,False,135,0.27,0.23294853892618322,0.3105586577410377,12,0
20240615_appmap-navie_gpt4o,AppMap Navie + GPT 4o (2024-05-13),,False,True,131,0.262,0.22537626914409045,0.30225291697242507,5,0
20241001_nfactorial,nFactorial (2024-10-01),,False,False,129,0.258,0.22159619995160001,0.2980939808895628,20,0
20240509_amazon-q-developer-agent-20240430-dev,Amazon Q Developer Agent (v20240430-dev),AWS,False,False,128,0.256,0.2197077079214847,0.29601297028200185,3,0
20240918_lingma-agent_lingma-swe-gpt-72b,Lingma Agent + Lingma SWE-GPT 72b (v0918),Alibaba,False,True,125,0.25,0.21404849648057134,0.2897636738098861,15,2
20240820_epam-ai-run-gpt-4o,EPAM AI/Run Developer Agent + GPT4o,,False,False,120,0.24,0.20463785977126908,0.2793267973308067,18,2
20250627_agentless_MCTS-Refine-7B,MCTS-Refine-7B,,True,True,116,0.232,0.19712923819486494,0.2709574083565055,39,0
20240728_sweagent_gpt4o,SWE-agent + GPT 4o (2024-05-13),SWE-agent,False,True,116,0.232,0.19712923819486494,0.2709574083565055,50,3
20240402_sweagent_gpt4,SWE-agent + GPT 4 (1106),SWE-agent,False,True,112,0.224,0.18963897100646088,0.2625696649942042,30,0
20241002_lingma-agent_lingma-swe-gpt-7b,Lingma Agent + Lingma SWE-GPT 7b (v0925),Alibaba,False,True,91,0.182,0.15064644497634477,0.2182026356331171,86,2
20240402_sweagent_claude3opus,SWE-agent + Claude 3 Opus,SWE-agent,False,True,79,0.158,0.1286526976534581,0.19256235130388766,41,0
20240918_lingma-agent_lingma-swe-gpt-7b,Lingma Agent + Lingma SWE-GPT 7b (v0918),Alibaba,False,True,51,0.102,0.07843435193974738,0.13163462316266084,39,2
20240402_rag_claude3opus,RAG + Claude 3 Opus,,False,True,35,0.07,0.05075974281633724,0.09579719008324955,0,0
20231010_rag_claude2,RAG + Claude 2,,False,True,22,0.044,0.02923395553505064,0.0657194430747437,1,0
20240402_rag_gpt4,RAG + GPT 4 (1106),,False,True,14,0.028,0.016750974654044105,0.04644640285433951,0,0
20231010_rag_swellama7b,RAG + SWE-Llama 7B,SWE-agent,False,True,7,0.014,0.00679778975361831,0.028613069291030913,2,0
20231010_rag_swellama13b,RAG + SWE-Llama 13B,SWE-agent,False,True,6,0.012,0.005510995141744251,0.025930361265228637,2,0
20231010_rag_gpt35,RAG + ChatGPT 3.5,SWE-agent,False,True,2,0.004,0.001097630512817676,0.014465715343449847,0,0
